(0,), 0.6681318681318681
(1, '0'), 0.15894039735099338
(1, '1'), 0.0756578947368421
(10, '0'), 0.10653753026634383
(10, '1'), 0.30952380952380953
(100, '0', '0'), 0.21908127208480566
(100, '0', '1'), 0.1875
(100, '1', '0'), 0.16666666666666666
(100, '1', '1'), 0.038461538461538464
(101, '0', '0'), 0.2551928783382789
(101, '0', '1'), 0.1111111111111111
(101, '1', '0'), 0.12121212121212122
(101, '1', '1'), 0.0625
(102, '0', '0'), 0.10622710622710622
(102, '0', '1'), 0.060240963855421686
(102, '1', '0'), 0.04395604395604396
(102, '1', '1'), 0.0
(103, '0', '0'), 0.04774535809018567
(103, '0', '1'), 0.2
(103, '1', '0'), 0.10714285714285714
(103, '1', '1'), 0.1
(104, '0', '0'), 0.0856353591160221
(104, '0', '1'), 0.07936507936507936
(104, '1', '0'), 0.10344827586206896
(104, '1', '1'), 0.0
(105, '0', '0'), 0.034574468085106384
(105, '0', '1'), 0.1
(105, '1', '0'), 0.14285714285714285
(105, '1', '1'), 0.0
(106, '0', '0'), 0.0921409214092141
(106, '0', '1'), 0.015625
(106, '1', '0'), 0.13333333333333333
(106, '1', '1'), 0.0
(107, '0', '0'), 0.037037037037037035
(107, '0', '1'), 0.0
(107, '1', '0'), 0.13333333333333333
(107, '1', '1'), 0.2857142857142857
(108, '0', '0'), 0.1544502617801047
(108, '0', '1'), 0.1509433962264151
(108, '1', '0'), 0.21428571428571427
(108, '1', '1'), 0.16666666666666666
(109, '0', '0'), 0.0449438202247191
(109, '0', '1'), 0.07142857142857142
(109, '1', '0'), 0.05970149253731343
(109, '1', '1'), 0.25
(11, '0'), 0.0728643216080402
(11, '1'), 0.17543859649122806
(110, '0', '0'), 0.058981233243967826
(110, '0', '1'), 0.01694915254237288
(110, '1', '0'), 0.11764705882352941
(110, '1', '1'), 0.0
(111, '0', '0'), 0.0392156862745098
(111, '0', '1'), 0.09090909090909091
(111, '1', '0'), 0.13043478260869565
(111, '1', '1'), 0.5
(112, '0', '0'), 0.03608247422680412
(112, '0', '1'), 0.044444444444444446
(112, '1', '0'), 0.1111111111111111
(112, '1', '1'), 0.25
(113, '0', '0'), 0.01909307875894988
(113, '0', '1'), 0.11764705882352941
(113, '1', '0'), 0.17647058823529413
(113, '1', '1'), 0.0
(114, '0', '0'), 0.052307692307692305
(114, '0', '1'), 0.02564102564102564
(114, '1', '0'), 0.23076923076923078
(115, '0', '0'), 0.20351758793969849
(115, '0', '1'), 0.058823529411764705
(115, '1', '0'), 0.1111111111111111
(115, '1', '1'), 0.0
(116, '0', '0'), 0.1415929203539823
(116, '0', '1'), 0.1935483870967742
(116, '1', '0'), 0.07692307692307693
(116, '1', '1'), 0.0
(117, '0', '0'), 0.22105263157894736
(117, '0', '1'), 0.05
(117, '1', '0'), 0.0
(117, '1', '1'), 0.5
(118, '0', '0'), 0.05825242718446602
(118, '0', '1'), 0.01694915254237288
(118, '1', '0'), 0.03571428571428571
(118, '1', '1'), 0.3333333333333333
(119, '0', '0'), 0.004878048780487805
(119, '0', '1'), 0.09090909090909091
(119, '1', '0'), 0.047619047619047616
(119, '1', '1'), 0.5
(12, '0'), 0.3581730769230769
(12, '1'), 0.23076923076923078
(120, '0', '0'), 0.03535353535353535
(120, '0', '1'), 0.07547169811320754
(120, '1', '0'), 0.0
(120, '1', '1'), 0.0
(121, '0', '0'), 0.029197080291970802
(121, '0', '1'), 0.07692307692307693
(121, '1', '0'), 0.125
(121, '1', '1'), 0.0
(122, '0', '0'), 0.03282828282828283
(122, '0', '1'), 0.0
(122, '1', '0'), 0.14285714285714285
(122, '1', '1'), 0.0
(123, '0', '0'), 0.0215311004784689
(123, '0', '1'), 0.045454545454545456
(123, '1', '0'), 0.07692307692307693
(123, '1', '1'), 0.5
(124, '0', '0'), 0.11380145278450363
(124, '0', '1'), 0.13333333333333333
(124, '1', '0'), 0.09090909090909091
(124, '1', '1'), 0.0
(125, '0', '0'), 0.023316062176165803
(125, '0', '1'), 0.0
(125, '1', '0'), 0.02040816326530612
(125, '1', '1'), 0.0
(126, '0', '0'), 0.039119804400977995
(126, '0', '1'), 0.0
(126, '1', '0'), 0.25
(126, '1', '1'), 0.0
(127, '0', '0'), 0.01643192488262911
(127, '0', '1'), 0.09090909090909091
(127, '1', '0'), 0.058823529411764705
(127, '1', '1'), 1.0
(128, '0'), 0.17401960784313725
(128, '1'), 0.2978723404255319
(129, '0', '0'), 0.0688622754491018
(129, '0', '1'), 0.08333333333333333
(129, '1', '0'), 0.0625
(129, '1', '1'), 0.2
(13, '0'), 0.07407407407407407
(13, '1'), 0.08227848101265822
(130, '0', '0'), 0.04851752021563342
(130, '0', '1'), 0.09615384615384616
(130, '1', '0'), 0.19230769230769232
(130, '1', '1'), 0.3333333333333333
(131, '0', '0'), 0.13622291021671826
(131, '0', '1'), 0.029411764705882353
(131, '1', '0'), 0.16666666666666666
(131, '1', '1'), 0.16666666666666666
(132, '0', '0'), 0.08529411764705883
(132, '0', '1'), 0.1746031746031746
(132, '1', '0'), 0.12121212121212122
(132, '1', '1'), 0.05263157894736842
(133, '0', '0'), 0.06329113924050633
(133, '0', '1'), 0.031914893617021274
(133, '1', '0'), 0.075
(133, '1', '1'), 0.2
(134, '0', '0'), 0.0906801007556675
(134, '0', '1'), 0.16129032258064516
(134, '1', '0'), 0.35
(134, '1', '1'), 0.2857142857142857
(135, '0', '0'), 0.26052631578947366
(135, '0', '1'), 0.2
(135, '1', '0'), 0.2
(135, '1', '1'), 0.6
